Squad,Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Atalanta,28,33.0,70,1,1,422,320,52,624,296,325,3,8,1,1778,550,439,55.6
Bologna,27,34.0,79,2,2,416,403,47,457,227,344,3,6,1,1627,371,372,49.9
Cagliari,28,33.0,66,3,2,410,355,50,742,237,280,2,4,3,1566,479,516,48.1
Empoli,34,34.0,74,0,0,458,460,68,599,232,342,3,7,1,1470,445,562,44.2
Fiorentina,29,33.0,71,0,0,400,395,46,673,205,283,5,8,0,1527,535,523,50.6
Frosinone,34,34.0,63,2,1,354,396,47,458,218,294,8,8,2,1623,469,539,46.5
Genoa,32,33.0,76,3,3,394,356,37,535,292,316,2,3,1,1453,525,465,53.0
Hellas Verona,34,34.0,80,5,2,474,401,53,636,264,344,3,2,1,1663,671,547,55.1
Inter,26,34.0,44,1,0,369,363,64,738,254,293,11,4,0,1463,471,333,58.6
Juventus,29,34.0,77,2,1,417,337,66,639,233,329,3,3,2,1489,442,390,53.1
Lazio,22,34.0,87,5,2,412,393,63,578,260,309,3,3,0,1623,358,405,46.9
Lecce,26,34.0,83,5,2,453,436,52,570,288,337,4,6,1,1600,483,551,46.7
Milan,33,34.0,78,8,2,390,368,53,570,233,307,5,7,0,1460,385,369,51.1
Monza,30,34.0,82,4,3,409,360,38,504,262,295,2,9,0,1329,380,423,47.3
Napoli,29,34.0,73,5,3,332,394,67,663,212,285,7,4,0,1560,425,435,49.4
Roma,30,34.0,90,2,1,415,382,62,572,214,299,6,5,3,1463,432,394,52.3
Salernitana,36,34.0,81,3,1,403,422,57,558,248,283,1,10,2,1473,461,569,44.8
Sassuolo,30,34.0,63,3,1,342,352,25,593,236,274,5,10,3,1454,388,529,42.3
Torino,28,34.0,69,2,1,417,359,58,696,286,245,2,5,0,1539,533,539,49.7
Udinese,32,34.0,90,5,3,445,375,49,490,303,334,3,8,1,1587,505,402,55.7
