,team,nemesis,pct_points,num_games
0,Atalanta,Juventus,16.67,28.0
1,Bologna,Juventus,11.54,26.0
2,Cagliari,Milan,9.38,32.0
3,Catania,Milan,12.5,16.0
4,Chievo,Milan,7.69,26.0
5,Empoli,Inter,8.33,16.0
6,Fiorentina,Roma,25.49,34.0
7,Genoa,Roma,21.11,30.0
8,Inter,Juventus,28.12,32.0
9,Juventus,Napoli,52.22,30.0
10,Lazio,Juventus,14.58,32.0
11,Milan,Juventus,31.25,32.0
12,Napoli,Empoli,41.67,12.0
13,Palermo,Inter,25.76,22.0
14,Parma,Roma,16.67,24.0
15,Roma,Juventus,26.04,32.0
16,Sampdoria,Napoli,15.48,28.0
17,Sassuolo,Juventus,16.67,18.0
18,Torino,Juventus,11.11,24.0
19,Udinese,Juventus,22.92,32.0
