,Date,HomeTeam,xG HomeTeam,xG AwayTeam,AwayTeam
9,2021-08-23,Sampdoria,1.0,1.1,Milan
19,2021-08-29,Milan,2.7,0.4,Cagliari
29,2021-12-09,Milan,3.0,0.3,Lazio
41,2021-09-19,Juventus,1.0,0.7,Milan
49,2021-09-22,Milan,1.7,0.7,Venezia
55,2021-09-25,Spezia,0.9,1.9,Milan
75,2021-03-10,Atalanta,2.1,3.0,Milan
79,2021-10-16,Milan,1.5,1.4,Hellas Verona
92,2021-10-23,Bologna,0.7,0.9,Milan
101,2021-10-26,Milan,0.9,0.8,Torino
118,2021-10-31,Roma,1.2,1.9,Milan
130,2021-07-11,Milan,0.9,2.6,Inter
134,2021-11-20,Fiorentina,1.8,2.1,Milan
149,2021-11-28,Milan,1.1,1.1,Sassuolo
161,2021-01-12,Genoa,0.5,1.0,Milan
165,2021-04-12,Milan,2.9,0.3,Salernitana
179,2021-11-12,Udinese,1.7,1.1,Milan
196,2021-12-19,Milan,0.5,0.9,Napoli
206,2021-12-22,Empoli,1.7,1.4,Milan
212,2022-06-01,Milan,2.9,0.8,Roma
215,2022-09-01,Venezia,0.4,2.8,Milan
234,2022-01-17,Milan,2.5,1.4,Spezia
246,2022-01-23,Milan,0.6,0.4,Juventus
249,2022-05-02,Inter,0.8,1.2,Milan
262,2022-02-13,Milan,1.4,0.2,Sampdoria
273,2022-02-19,Salernitana,1.4,1.3,Milan
281,2022-02-25,Milan,0.8,1.0,Udinese
301,2022-06-03,Napoli,0.5,1.2,Milan
306,2022-12-03,Milan,0.7,0.2,Empoli
318,2022-03-19,Cagliari,1.1,2.4,Milan
334,2022-04-04,Milan,2.2,0.6,Bologna
344,2022-10-04,Torino,1.0,0.8,Milan
348,2022-04-15,Milan,1.6,0.3,Genoa
368,2022-04-24,Lazio,0.6,2.1,Milan
380,2022-01-05,Milan,1.3,0.5,Fiorentina
396,2022-08-05,Hellas Verona,1.2,2.9,Milan
405,2022-05-15,Milan,1.5,0.9,Atalanta
416,2022-05-22,Sassuolo,0.4,3.1,Milan
